sentence,human_label,inference
  The equilibrium level of national income in the IS–LM diagram is referred to as aggregate demand,1. The equilibrium level of national income in the IS-LM diagram is referred to as aggregate demand.,no
  It shows where money demand equals money supply,1. Money demand equals money supply.,no
The AD/AS model is used to illustrate the Keynesian model of the business cycle,1. The AD/AS model is used to illustrate the Keynesian model of the business cycle.,no
 A special case is a horizontal AS curve which means the price level is constant,"1. The AS curve is horizontal.
2. The price level is constant.",1. 1==>2
"The IS curve also represents the equilibria where total private investment equals total saving, with saving equal to consumer saving plus government saving (the budget surplus) plus foreign saving (the trade surplus)","1.The IS curve also represents the equilibria
2. total private investment equals total saving
3. saving equal to consumer saving plus government saving plus foreign saving ",no
" He later presented it in ""Mr.  Keynes and the Classics: A Suggested Interpretation""
",1. He presented it.,no
"The model was developed by John Hicks in 1937 and was later extended by Alvin Hansen, as a mathematical representation of Keynesian macroeconomic theory","1. John Hicks developed the model in 1937.
2. Alvin Hansen extended the model.
3.  The model is  a mathematical representation of Keynesian macroeconomic theory.",no
"For example, a shock increase in the price of oil is felt by producers as an increase in the factors of production","1. the price of oil has shock increase.
2. producers feel the increase.",no
 The two models produce the same results with a constant price level,1. The two models produce the same results.,no
The LM curve shows the combinations of interest rates and levels of real income for which the money market is in equilibrium,"1. The LM curve shows the combinations of interest rates and levels of real income.
2. The money market is in equilibrium.",no
The long-run aggregate supply curve of the classical model is affected by events that affect the potential output of the economy,"1. The long-run aggregate supply curve of the classical model is affected.
2. Events affect the potential output of the economy.",1.2==>1
"  Furthermore, the model can be incorporated as a component in any of a variety of dynamic models (models of how variables like the price level and others evolve over time)","1. incorporation of the model in dynamic models
2. evolution of variables like the price level and others over time",no
"  , where the supply of money is represented as the real amount M/P (as opposed to the nominal amount M), with P representing the price level, and L being the real demand for money, which is some function of the interest rate and the level of real income","1. The supply of money is represented as the real amount M/P.
2. P represents the price level.
3. L represents the real demand for money.
4. L is some function of the interest rate.
5. L is some function of the level of real income.",no
  Thus these too raise both equilibrium income and the equilibrium interest rate,"1. equilibrium income is raised.
2.  equilibrium interest rate is raised.",no
 The short-run aggregate supply curve has an upward slope for the same reasons the Keynesian AS curve has one: the law of diminishing returns and the scarcity of resources,"1. The short-run aggregate supply curve has an upward slope.
2. The law of diminishing returns applies to the short-run 
3. The scarcity of resources affects the short-run aggregate supply curve.
","1. 2==>1
2. 3==>1"
The IS–LM model also allows for the role of monetary policy,1. The IS-LM model allows for the role of monetary policy.,no
 Speculative demand is inversely related to the interest rate, 1. Speculative demand is inversely related to the interest rate,no
" As the aggregate demand curve is shifted outward, the general price level increases","1. The aggregate demand curve is shifted outward.
2. The general price level increases.",1. 1==>2
" The IS curve represents the locus where total spending (consumer spending + planned private investment + government purchases + net exports) equals total output (real income, Y, or GDP)","1. The IS curve represents the locus.
2. Total spending equals total output.",no
  In this case the nominal wage rate is endogenous and so does not appear as an independent variable in the aggregate supply equation,"1. The nominal wage rate is endogenous.
2. The nominal wage rate does not appear as an independent variable in the aggregate supply equation.",no
" Further, if government deficits are spent on productive public investment (e.g. , infrastructure or public health) that spending directly and eventually raises potential output, although not necessarily more (or less) than the lost private investment might have","1. government deficits are spent on productive public investment. 
2. Spending raises potential output.",1. 1==>2
" The ""short-run"" is defined as the period during which only final good prices adjust and factor, or input, costs do not","1. Final good prices adjust
2. Factor or input costs do not adjust",no
 This explains the downward slope of the IS curve,1. This explains the downward slope of the IS curve,no
 Firms' average costs of production therefore are assumed not to change as their output level changes,"1. Firms' average costs of production are not to change
2. Firms' output level changes.",no
Money supply is determined by central bank decisions and willingness of commercial banks to loan money,"1. Central bank determines money supply
2.  The willingness of commercial banks to loan money determines money supply",no
" If the money supply is increased, that shifts the LM curve downward or to the right, lowering interest rates and raising equilibrium national income","1. The money supply is increased.
2. The LM curve shifts downward.
3. The LM curve shifts to the right.
4. Interest rates are lowered.
5. Equilibrium national income is raised.","1. 1==>2
2. 1==>3
3. 2==>4
4. 3==>4
5. 2==>5
6. 3==>5"
"IS–LM model, or Hicks–Hansen model, is a  two-dimensional macroeconomic tool that shows the relationship between interest rates and assets market (also known as real output in goods and services market plus money market)","1.The IS-LM model is a  two-dimensional macroeconomic tool 
2. The IS-LM model shows the relationship between interest rates and asset market.",no
" This increased price level causes households, or the owners of the factors of production to demand higher prices for their goods and services","1. price level increases
2. households demand higher prices for their goods and services.
3.  owners of factors of production to demand higher prices for their goods and services.","1. 1==>2
2. 1==>3"
" For a contemporary and alternative reinvention of the IS-LM approach that uses Keynesian Search Theory, see Roger Farmer's work on the IS-LM-NAC model, part of his broader research agenda which studies how beliefs independently influence macroeconomic outcomes","1. Reinvention of the IS-LM approach uses Keynesian Search Theory
2. Roger Farmer's work on the IS-LM-NAC model studies how beliefs independently influence macroeconomic outcomes.",no
"  where W is the nominal wage rate (exogenous due to stickiness in the short run), Pe is the anticipated (expected) price level, and Z2 is a vector of exogenous variables that can affect the position of the labor demand curve (the capital stock or the current state of technological knowledge)",no event.,no
"  The real money supply has a positive effect on aggregate demand, as does real government spending; taxation has a negative effect on it","1. The real money supply has a positive effect on aggregate demand.
2. Real government spending has a positive effect on aggregate demand.
3. Taxation has a negative effect on aggregate demand.",no
" Mathematically, the LM curve is defined by the equation 
",no event.,no
 The liquidity preference function is downward sloping (i.e.  the willingness to hold cash increases as the interest rate decreases),"1. The liquidity preference function is downward sloping
2. One's willingness to hold cash increases.
3. Interest rate decreases.",1. 3==>2
" In response, the supply will slowly shift back to the steady state equilibrium, first with a large reaction, then consequently smaller reactions until it reaches steady state","1. The supply will shift back to the steady state equilibrium.
2. There will be a large reaction.
3. There will be subsequent smaller reactions.
4. The supply will reach steady state.",no
"  For the LM curve, the independent variable is income and the dependent variable is the interest rate","1. The independent variable of the LM curve is income.
2. The dependent variable of the LM curve is the interest rate.",no
 This slows the adjustment of the AS curve back to its steady state,1. the AS curve adjusts back to its steady state.,no
" The AD curve represents the locus of equilibrium in the IS–LM model, also invented and developed by Keynes","1. The AD curve represents the locus of equilibrium in the IS-LM model.
2. The IS-LM model was invented by Keynes.
3. The IS-LM model was developed by Keynes.",no
 But in practice the main role of the model is as a path to explain the AD–AS model,1. The model is a path to explain the AD-AS model,no
 This shifts the supply curve upward by raising expected inflation,"1.  the supply curve shifts.
2. the inflation is expected to raise.",1. 2==>1
" Thus the money supply function is represented as a vertical line – money supply is a constant, independent of the interest rate, GDP, and other factors","1. The money supply function is represented as a vertical line.
2. Money supply is a constant.
3. Money supply is independent of the interest rate.
4. Money supply is independent of GDP.
5. Money supply is independent of other factors.","1. 1==>2
2. 1==>3
3. 1==>4
4. 1==>5"
" Hicks, who had seen a draft of Harrod's paper, invented the IS–LM model (originally using the abbreviation ""LL"", not ""LM"")","1. Hicks had seen a draft of Harrod's paper.
2. Hicks invented the IS–LM model.",no
 These factors shift short-run curves exclusively,1. Factors shift short-run curves.,no
 This provides a rationale for Keynesians' support for government intervention,1.Keynesians support government intervention,no
" The upward slope is due to the law of diminishing returns as firms increase output, which states that it will become marginally more expensive to accomplish the same level of improvement in productive capacity as firms grow","1. The upward slope is due to the law of diminishing returns.
2. Firms increase output.
3. accomplish the same level of improvement in productive capacity will become marginally more expensive.
4. Firms grow.",1. 2==> 3
The classical aggregate supply curve comprises a short-run aggregate supply curve and a vertical long-run aggregate supply curve,"1. The classical aggregate supply curve comprises a short-run aggregate supply curve.
2. The classical aggregate supply curve comprises a vertical long-run aggregate supply curve.",no
" However, the Keynesian aggregate supply curve also contains a normally upward-sloping region where aggregate supply responds accordingly to changes in price level","1. The Keynesian aggregate supply curve contains a normally upward-sloping region.
2. aggregate supply responds accordingly to changes in price level","
1. 2==>1"
" Yet two equivalent interpretations are possible: first, the IS–LM model explains changes in national income when the price level is fixed in the short-run; second, the IS–LM model shows why an aggregate demand curve can shift","1. The IS-LM model explains changes in national income when the price level is fixed in the short run.
2. The IS-LM model shows why an aggregate demand curve can shift.",
"  Further, exogenous decreases in liquidity preference, perhaps due to improved transactions technologies, lead to downward shifts of the LM curve and thus increases in income and decreases in interest rates","1. Liquidity preference  has exogenous decreases.
2. Transactions technologies is improved.
3. The LM curve shifts downward.
4. Income increases.
5. Interest rates decreases.","1. 2==>1
2. 1==>3
3. 3==>4
4. 3==>5"
 The long-run aggregate supply curve is vertical because factor prices will have adjusted,"1. The long-run aggregate supply curve is vertical.
2. Factor prices will have adjusted.",1. 2==>1
 Factors revolve around changes in the quality and quantity of factors of production,"1. Changes in the quality of factors of production
2. Changes in the quantity of factors of production",no
" The vertical section of the Keynesian curve corresponds to the physical limit of the economy, where it is impossible to increase output","1. The vertical section of the Keynesian curve corresponds to the physical limit of the economy.
2. It is impossible to increase output.",1. 1==>2
 The multiplier effect of an increase in fixed investment resulting from a lower interest rate raises real GDP,"1. fixed investment increases
2. An interest rate becomes lower
3. Real GDP being raised.","1. 2==>1
2. 1==>3"
" It is also due to the scarcity of natural resources, the rarity of which causes increased production to also become more expensive","1. Scarcity of natural resources
2. Rarity of natural resources
3. Increased production becomes more expensive",1. 2==>3
" As the inflation slowly falls, so will the AS curve back to its steady state","1. The inflation slowly falls.
2. The AS curve will go back to its steady state.",1. 1==>2
 Monetarists have argued that demand-side expansionary policies favoured by Keynesian economists are solely inflationary,"1. demand-side expansionary policies are favoured by Keynesian economists 
2. demand-side expansionary policies are solely inflationary",no
" The ""long-run"" is the period after which factor prices are able to adjust accordingly",1. Factor prices are able to adjust accordingly.,no
 This gives way to the upward sloping SRAS,1.  Short-run aggregate supply (SRAS) shifts upward sloping,
" As such, it is included in most undergraduate macroeconomics textbooks, but omitted from most graduate texts due to the current dominance of real business cycle and new Keynesian theories","1. it is included in most undergraduate macroeconomics textbooks
2. it is omitted from most graduate texts
",no
"describing mathematical models attempting to summarize John Maynard Keynes' General Theory of Employment, Interest, and Money","1. A mathematical models is attempted to summarize John Maynard Keynes' General Theory of Employment, Interest, and Money",no
" The reactions back to equilibrium are largest when furthest from steady state, and become smaller as they near equilibrium","1. The reactions back to equilibrium are largest 
2. The state from steady is the furthest.
3. The reactions back to equilibrium become
 smaller.
4.   The state is near equilibrium.","1. 2==>1
2. 4==>3"
" Any event that results in a change of production costs shifts the curves outwards or inwards if production costs are decreased or increased, respectively","1. Change of production costs
2. Shifting the aggregate supply curves outwards
3. Shifting the aggregate supply curves inwards
4. Decrease in production cost
5. Increase in production costs","1. 4==>2
2. 5==>3"
" As GDP is considered exogenous to the liquidity preference function, changes in GDP shift the curve","1. GDP is exogenous to the liquidity preference function.
2. Changes in GDP shift the curve.",1. 1==>2
 An increased deficit by the national government shifts the IS curve to the right,"1. the national government has an increased deficit
2. IS curve shifts to the right",1. 1==>2
" In summary, the IS curve shows the causation from interest rates to planned fixed investment to rising national income and output",1. The IS curve shows the causation from interest rates to planned fixed investment to rising national income and output.,no
 Money supply in effect is perfectly inelastic with respect to nominal interest rates,"1. Money supply in effect is perfectly inelastic
2. Money supply having a relationship with nominal interest rates",no
 Transactions demand is positively related to real GDP,1. Transactions demand is positively related to real GDP.,no
" The idea behind that is because there is unemployment, firms can readily obtain as much labour as they want at that current wage and production can increase without any additional costs (e.g.  machines are idle which can simply be turned on)","1. Unemployment exists.
2. Firms can readily obtain labor.
3. Firms can obtain labor at the current wage.
4. Production can increase without any additional costs.
5. Machines are idle.
6. Machines can be turned on.","1. 1==>2
2. 1==>3
3. 5==>4"
 Changes in these variables in the opposite direction shift the LM curve in the opposite direction,"1. These variables changes in the opposite direction
2. The LM curve shifts in the opposite direction",no
"In the money market equilibrium diagram, the liquidity preference function is the willingness to hold cash",1.The liquidity preference function is the willingness to hold cash.,no
The following summarizes the exogenous events that could shift the aggregate supply or aggregate demand curve to the right,"1. The exogenous events could shift the aggregate supply curve to the right.
2. The exogenous events could shift the aggregate demand curve to the right.",no
" It is one of the primary simplified representations in the modern field of macroeconomics, and is used by a broad array of economists, from libertarian, monetarist supporters of laissez-faire, such as Milton Friedman, to post-Keynesian supporters of economic interventionism, such as Joan Robinson",1. a broad array of economists used the representations.,no
Transactions demand for money: this includes both (a) the willingness to hold cash for everyday transactions and (b) a precautionary measure (money demand in case of emergencies),Transactions demand for money includes willingness to hold cash and a precautionary measure,no
" So, as interest rates rise, speculative demand for money falls","1. Interest rates rise.
2. Speculative demand for money falls.",1. 1==>2
"The Keynesian model, in which there is no long-run aggregate supply curve and the classical model, in the case of the short-run aggregate supply curve, are affected by the same determinants","1. The Keynesian model is affected by determinants. 
2. The classical model is affected by determinants.",no
" Factor prices increase if producing at a point beyond full employment output, shifting the short-run aggregate supply inwards so equilibrium occurs somewhere along full employment output","1. Factor prices increase 
2. Producing at a point beyond full employment output
3. Shifting the short-run aggregate supply inwards
4. Equilibrium occurs somewhere along full employment output","1. 2==>1
2. 1==>3
3. 3==>4"
Speculative demand for money: this is the willingness to hold cash instead of securities as an asset for investment purposes,"1. One holds cash
2. One holds securities as an asset for investment purposes
3. One has speculative demand for money",no
" While it has been largely absent from macroeconomic research ever since, it is still a backbone conceptual introductory tool in many macroeconomics textbooks","1. It has been largely absent from macroeconomic research.
2. It is a backbone conceptual introductory tool in many macroeconomics textbooks.",no
 The short-run curve visualizes the total planned output of goods and services in the economy at a particular price level,1.  Short-run curve visualizes the total planned output of goods and services in the economy at a particular price level.,no
 The theoretical ultimate result is inflation,no event.,no
"Rightward shifts of the IS curve also result from exogenous increases in investment spending (i.e. , for reasons other than interest rates or income), in consumer spending, and in export spending by people outside the economy being modelled, as well as by exogenous decreases in spending on imports","1.  The IS curve shifts rightward.
2. investment spending has  exogenous increases.
3. consumer spending has exogenous increases.
4. export spending by people outside the economy being modelled has exogenous increases.
5. spending on imports has exogenous decreases.","1. 2==>1
2. 3==>1
3. 4==>1
4. 5==>1"
  The price level relative to its expected level has a positive effect on aggregate supply because of firms' mistakes in production plans due to mis-predictions of prices,"1. The price level relative to its expected level has a positive effect on aggregate supply.
2. Firms make mistakes in their production plans.
3. Firms make mistakes in prices.","1. 3==>2
2. 2==>1"
"It is based on the theory of John Maynard Keynes presented in his work The General Theory of Employment, Interest and Money","1. John Maynard Keynes presents a theory.
2. The theory is about The General Theory of Employment, Interest, and Money.",no
" In the long-run, resource prices adjust to the price level bringing the economy back to a full employment output; along vertical LRAS","1. Resource prices adjusting to the price level
2. Long-run adjustment of resource prices
3. Economy returning to a full employment output
4. Long-run aggregate supply (LRAS) shifting vertically","1. 2==>3
2. 3==>4"
"Hence, this tool is sometimes used not only to analyse economic fluctuations but also to suggest potential levels for appropriate stabilisation policies","1. The tool is used to analyse economic fluctuations
2. The tool is used to suggest potential levels for appropriate stabilisation policies",no
 In the short run wages and other resource prices are sticky and slow to adjust to new price levels,"1. In the short run, wages are sticky and slow to adjust to new price levels.
2. In the short run, resource prices are sticky and slow to adjust to new price levels.",no
" On the other hand, an rightward shift in the IS curve along a vertical LM curve will lead to higher interest rates, but no change in output (this case represents the ""Treasury view"")","1. The IS curve shifts rightward along a vertical LM curve.
2. The interest rates gets higher.
3. The output has no change.","1. 1==>2
2. 1==>3"
"For the investment–saving curve, the independent variable is the interest rate and the dependent variable is the level of income","1. Interest rate being the independent variable
2. Level of income being the dependent variable",no
"  This raises the equilibrium interest rate (from i1 to i2) and national income (from Y1 to Y2), as shown in the graph above","1. The equilibrium interest rate is raised from i1 to i2.
2. National income is raised from Y1 to Y2.",no
" In this long-run case, Z2 also includes factors affecting the position of the labor supply curve (such as population), since in labor market equilibrium the location of labor supply affects the labor market outcome",1. The location of labor supply affects the labor market outcome.,no
"Keynesians argue spending may actually ""crowd in"" (encourage) private fixed investment via the accelerator effect, which helps long-term growth","1. Spending encourages private fixed investment
2. Spending helps long-term growth",no
"  As a result, the price level would go up",1. The price level goes up.,no
The mainstream AS-AD model contains both a long-run aggregate supply curve (LRAS) and a short-run aggregate supply (SRAS) curve essentially combining the classical and Keynesian models,"1. The mainstream AS-AD model contains a long-run aggregate supply curve.
2. The mainstream AS-AD model contains a short-run aggregate supply curve.
3. The mainstream AS-AD model combines the classical and Keynesian models.",no
"  Of course, changes in these variables in the opposite direction shift the IS curve in the opposite direction","1. These variables changes in the opposite direction
2. The IS curve shifts in the opposite direction",no
 Every level of the real interest rate will generate a certain level of investment and spending: lower interest rates encourage higher investment and more spending,"1. Every level of the real interest rate will generate a certain level of investment.
2. Every level of the real interest rate will generate a certain level of spending.
3. Lower interest rates encourage higher investment.
4. Lower interest rates encourage more spending.",no
" Since wages cannot readily adjust low enough for aggregate supply to shift outward and improve total output, the government must intervene to accomplish this result","1. Wages readily adjust low enough
2. aggregate supply shifts outward.
3. The government intervenes.",no
 Movements of the two curves can be used to predict the effects that various exogenous events will have on two variables:  real GDP and the price level,1. movements of two curves are used to predict the effects,no
" The intersection of the ""investment–saving"" (IS) and ""liquidity preference–money supply"" (LM) curves models ""general equilibrium"" where supposed simultaneous equilibria occur in both the goods and the asset markets","1. The intersection of the ""investment–saving"" (IS) and ""liquidity preference–money supply"" (LM) curves models ""general equilibrium""
2. Simultaneous equilibria occur in both the goods and the asset markets.",no
" Some factors which affect short-run production costs include: taxes and subsidies, price of labour (wages), and price of raw materials","1. Taxes and subsidies affect short-run production costs
2. Price of labour (wages) affects short-run production costs
3. Price of raw materials affects short-run production costs",no
 A greater quantity of labour or capital corresponds to a lower price for both,"1. Increased quantity of labor.
2. Increased quantity of capital.
3. Lower price of labor.
4.Lower price of capital.","1. 1==>3
2. 2==>4"
" The consequence of this is increased production costs for firms, causing short-run aggregate demand to shift back inwards","1. Increased production costs for firms
2. Short-run aggregate demand shifting back inwards",1. 1==>2
 Changes in the quantity and quality of labour and capital affect both long-run and short-run supply curves,"1. Changes in quantity of labour 
2. Changes in quanlity of labour 
3. Changes in quantity of capital 
4. Changes in quanlity of capital
5. long-run supply curves are affected
6. short-run supply curves are affected","1. 1==>5
2. 2==>5
3. 3==>5
4. 4==>5
5. 1==>6
6. 2==>6
7. 3==>6
8. 4==>6"
" Between the 1940s and mid-1970s, it was the leading framework of macroeconomic analysis",No event.,no
  The AD–AS model can be related to the Phillips curve model of wage or price inflation and unemployment,"1. The AD-AS model can be related to the Phillips curve model.
2. The AD-AS model can be related to the model of wage or price inflation.
3. The AD-AS model can be related to the model of unemployment.",no
"The point where the IS and LM schedules intersect represents a short-run equilibrium in the real and monetary sectors (though not necessarily in other sectors, such as labor markets): both the product market and the money market are in equilibrium","1. The IS and LM schedules intersect.
2. The point where the IS and LM schedules intersect represents a short-run equilibrium in the real and monetary sectors .
3. The product market is in equilibrium.
4. The money market is in equilibrium.","1.2==>3
2.2==>4"
"The long-run aggregate supply curve refers not to a time frame in which the capital stock is free to be set optimally (as would be the terminology in the micro-economic theory of the firm), but rather to a time frame in which wages are free to adjust in order to equilibrate the labor market and in which price anticipations are accurate","1. The capital stock is free to be set optimally.
2. Wages are free to adjust.
3. Labor market is being equilibrated.
4. Price anticipations are accurate.",no
"One hypothesis is that a government's deficit spending (""fiscal policy"") has an effect similar to that of a lower saving rate or increased private fixed investment, increasing the amount of demand for goods at each individual interest rate","1. A government's deficit spending has an effect similar to a lower saving rate.
2. A government's deficit spending has an effect similar to a increased private fixed investment.
3.  A government's deficit spending increases the amount of demand for goods at each individual interest rate",no
 This equilibrium yields a unique combination of the interest rate and real GDP,1. Equilibrium yields a combination of the interest rate and real GDP.,no
" By itself, the IS–LM model is used to study the short run when prices are fixed or sticky and no inflation is taken into consideration","1. Using the IS-LM model to study the short run
2. Prices being fixed or sticky in the short run",no
  The real wage has a negative effect on firms' employment of labor and hence on aggregate supply,"1. The real wage has a negative effect on firms' employment of labor.
2. The real wage has a negative effect on aggregate supply.",1. 1==>2
 A greater quality in labour or capital corresponds to a greater output per worker or machine,"1. Labour has greater quality.
2. Capital has greater quality.
3. Output per worker is greater.
4. Output per machine is greater.","1. 1==>3
4. 2==>4"
"  In addition if the time frame of analysis is the short run, so the aggregate supply curve is upward sloping rather than vertical, real output would go up; but in the long run with aggregate supply vertical at full employment, real output would remain unchanged","1. The aggregate supply curve is upward sloping in the short run.
2. Real output would go up in the short run.
3. The aggregate supply curve is vertical at full employment in the long run.
4. Real output would remain unchanged in the long run.","1. 1==>2
2. 2==>3"
" The total output of an economy can decline without the price level declining; this fact, in conjunction with the Keynesian belief of wages being inflexible downwards, clarifies the need for government stimulus","1. The total output of an economy declines
2. the price level declines.
3. Keynesian belief of wages being inflexible downwards.
4. Government stimulus.",no
The following exogenous events would shift the aggregate demand curve to the right,1.  The aggregate demand curve shifts to the right.,no
"  where Y is real GDP, M is the nominal money supply, P is the price level, G is real government spending, T is real taxes levied, and Z1 other variables that affect the location of the IS curve (any component of spending) or the LM curve (influences on money demand)",no event.,no
  A shift in the IS curve along a relatively flat LM curve can increase output substantially with little change in the interest rate,"1. The IS curve shifts along a relatively flat LM curve.
2.  Output increases.
3.  The interest rate has little change.","1. 1==>2
2. 1==>3"
The Keynesian aggregate supply curve shows that the AS curve is significantly horizontal implying that the firm will supply whatever amount of goods is demanded at a particular price level during an economic depression,"1. The AS curve is significantly horizontal.
2. The firm will supply whatever amount of goods is demanded.
3. The goods are demanded at a particular price level.
4. The economic depression.",1. 1==>2
" As the interest rate rises, the opportunity cost of holding money rather than investing in securities increases","1. The interest rate rises.
2. The opportunity cost of holding money rather than investing in securities increases.",1. 1==>2
 The IS curve is drawn as downward-sloping with the interest rate r on the vertical axis and GDP (gross domestic product: Y) on the horizontal axis,"1. The IS curve is drawn as downward-sloping
2. The IS curve is drawn with the interest rate r on the vertical axis
3. The IS curve is drawn with GDP (gross domestic product) on the horizontal axis",no
"Although generally accepted as being imperfect, the model is seen as a useful pedagogical tool for imparting an understanding of the questions that macroeconomists today attempt to answer through more nuanced approaches","1. The model is generally accepted as being imperfect.
2. The model is seen as a useful pedagogical tool.
3. The model imparts an understanding of the questions that macroeconomists attempt to answer.
4. Macroecoomists today attempt to answer questions through more nuanced approaches.",no
"This means that as the aggregate supply is shocked by factors of production, it will move away from its steady state","1. Aggregate supply being shocked by factors of production
2. Aggregate supply  moving away from the steady state",1. 1==>2
